Date,closing value of DOW
1/2/1897  ,    29.8447
1/4/1897  ,    29.5736
1/5/1897  ,    29.9399
1/6/1897  ,    29.9985
1/7/1897  ,    29.9399
1/8/1897  ,    30.0132
1/9/1897  ,    29.9619
1/11/1897  ,    29.852
1/12/1897  ,    30.3282
1/13/1897  ,    30.3648
1/14/1897  ,    30.6139
1/15/1897  ,    30.9655
1/16/1897  ,    31.3684
1/18/1897  ,    31.3245
1/19/1897  ,    31.6834
1/20/1897  ,    31.3391
1/21/1897  ,    31.1486
1/22/1897  ,    31.0754
1/23/1897  ,    30.7824
1/25/1897  ,    30.7018
1/26/1897  ,    30.9289
1/27/1897  ,    30.9215
1/28/1897  ,    30.6798
1/29/1897  ,    30.8117
1/30/1897  ,    31.1779
2/1/1897  ,    31.0461
2/2/1897  ,    30.7824
2/3/1897  ,    30.7164
2/4/1897  ,    30.2549
2/5/1897  ,    30.2036
2/6/1897  ,    30.3428
2/8/1897  ,    30.1157
2/9/1897  ,    29.7201
2/10/1897  ,    29.7201
2/11/1897  ,    29.5004
2/13/1897  ,    29.0975
2/15/1897  ,    29.1121
2/16/1897  ,    29.5223
2/17/1897  ,    29.5223
2/18/1897  ,    29.537
2/19/1897  ,    29.5077
2/20/1897  ,    29.7348
2/23/1897  ,    29.808
2/24/1897  ,    29.8593
2/25/1897  ,    29.4564
2/26/1897  ,    30.2476
2/27/1897  ,    30.5553
3/1/1897  ,    30.5406
3/2/1897  ,    30.6798
3/3/1897  ,    30.8629
3/4/1897  ,    30.2842
3/5/1897  ,    30.3648
3/6/1897  ,    30.2622
3/8/1897  ,    30.6944
3/9/1897  ,    30.4893
3/10/1897  ,    30.6139
3/11/1897  ,    30.7237
3/12/1897  ,    30.8043
3/13/1897  ,    30.9801
3/15/1897  ,    30.8263
3/16/1897  ,    30.7164
3/17/1897  ,    30.4014
3/18/1897  ,    30.4747
3/19/1897  ,    30.123
3/20/1897  ,    30.2183
3/22/1897  ,    30.3208
3/23/1897  ,    29.9326
3/24/1897  ,    29.7421
3/25/1897  ,    29.7275
3/26/1897  ,    29.3539
3/27/1897  ,    28.9509
3/29/1897  ,    28.6652
3/30/1897  ,    29.2
3/31/1897  ,    28.9143
4/1/1897  ,    29.1341
4/2/1897  ,    29.1634
4/3/1897  ,    29.222
4/5/1897  ,    29.1121
4/6/1897  ,    28.9876
4/7/1897  ,    29.1048
4/8/1897  ,    29.5736
4/9/1897  ,    29.4564
4/10/1897  ,    29.515
4/12/1897  ,    29.2659
4/13/1897  ,    29.6176
4/14/1897  ,    29.1268
4/15/1897  ,    28.8704
4/17/1897  ,    28.6213
4/19/1897  ,    28.1964
4/20/1897  ,    28.3429
4/21/1897  ,    28.5041
4/22/1897  ,    28.255
4/23/1897  ,    28.1964
4/24/1897  ,    28.233
4/26/1897  ,    28.7312
4/28/1897  ,    28.5847
4/29/1897  ,    28.5773
4/30/1897  ,    28.5407
5/1/1897  ,    28.3722
5/3/1897  ,    28.4088
5/4/1897  ,    28.9216
5/5/1897  ,    28.7019
5/6/1897  ,    28.9656
5/7/1897  ,    29.0022
5/8/1897  ,    29.0242
5/10/1897  ,    29.2659
5/11/1897  ,    29.2293
5/12/1897  ,    29.0755
5/13/1897  ,    28.7678
5/14/1897  ,    28.5261
5/15/1897  ,    28.3283
5/17/1897  ,    28.3283
5/18/1897  ,    28.7165
5/19/1897  ,    28.4235
5/20/1897  ,    28.3283
5/21/1897  ,    28.4455
5/22/1897  ,    28.5554
5/24/1897  ,    28.8118
5/25/1897  ,    28.7165
5/26/1897  ,    28.9729
5/27/1897  ,    28.7238
5/28/1897  ,    29.0389
5/29/1897  ,    29.2366
6/1/1897  ,    29.3099
6/2/1897  ,    29.4637
6/3/1897  ,    29.5077
6/4/1897  ,    29.6835
6/5/1897  ,    30.0644
6/7/1897  ,    30.2696
6/8/1897  ,    30.5772
6/9/1897  ,    30.9215
6/10/1897  ,    31.0461
6/11/1897  ,    31.1633
6/12/1897  ,    31.1853
6/14/1897  ,    31.471
6/15/1897  ,    31.3538
6/16/1897  ,    31.0534
6/17/1897  ,    31.2732
6/18/1897  ,    31.5515
6/19/1897  ,    31.4197
6/21/1897  ,    31.2219
6/22/1897  ,    31.3538
6/23/1897  ,    31.6321
6/24/1897  ,    31.786
6/25/1897  ,    31.7054
6/26/1897  ,    32.0131
6/28/1897  ,    32.6797
6/29/1897  ,    32.4306
6/30/1897  ,    32.3061
7/1/1897  ,    32.3867
7/2/1897  ,    32.3647
7/3/1897  ,    32.1449
7/6/1897  ,    31.9398
7/7/1897  ,    32.2841
7/8/1897  ,    32.1742
7/9/1897  ,    32.35
7/10/1897  ,    32.5039
7/12/1897  ,    33.002
7/13/1897  ,    33.4123
7/14/1897  ,    33.4855
7/15/1897  ,    33.1632
7/16/1897  ,    33.317
7/17/1897  ,    33.3463
7/19/1897  ,    34.0276
7/20/1897  ,    34.2547
7/21/1897  ,    34.3939
7/22/1897  ,    34.9653
7/23/1897  ,    35.0752
7/24/1897  ,    35.1045
7/26/1897  ,    34.9506
7/27/1897  ,    34.5111
7/28/1897  ,    35.0605
7/29/1897  ,    34.9433
7/30/1897  ,    35.1265
7/31/1897  ,    35.0752
8/2/1897  ,    35.7784
8/3/1897  ,    36.7015
8/4/1897  ,    37.1703
8/5/1897  ,    37.5439
8/6/1897  ,    37.8882
8/7/1897  ,    37.9468
8/9/1897  ,    37.5952
8/10/1897  ,    37.8956
8/11/1897  ,    37.9468
8/12/1897  ,    38.0714
8/13/1897  ,    37.7271
8/14/1897  ,    38.0714
8/16/1897  ,    38.2325
8/17/1897  ,    37.7637
8/18/1897  ,    37.9395
8/19/1897  ,    37.9468
8/20/1897  ,    37.837
8/21/1897  ,    37.9761
8/23/1897  ,    38.379
